"id","title","sku","price","price_card","url","img_url","created_at"
1,"Сыр БЕЛЕБЕЕВСКИЙ 45%, без змж, 190г","556201",231.59,179.99,https://lenta.com/product/syr-45-bez-zmzh-rossiya-190g-556201/,https://cdn.api.lenta.com/resample/webp/900x900/photo/556201/catalog-image/91bd0199-fe80-4cf3-9dfa-3c15f28dbb1f.png,2026-05-18 09:54:52.514 +0300
2,"Сыр творожный HOCHLAND сливочный 60%, без змж, 220г","346737",199.99,159.99,https://lenta.com/product/syr-tvorozhnyjj-slivochnyjj-60-bez-zmzh-rossiya-220g-346737/,https://cdn.api.lenta.com/resample/webp/900x900/photo/346737/21ea1228-1b45-4c38-8aad-3f2166fc4e58.png,2026-05-18 09:54:52.514 +0300
3,"Сыр ПЕСТРАВКА Российский 50%, без змж, 200г","509378",231.59,189.99,https://lenta.com/product/syr-rossijjskijj-50-fas-bez-zmzh-rossiya-200g-509378/,https://cdn.api.lenta.com/resample/webp/900x900/photo/509378/b722acad-2818-4aeb-8d3f-639b1a6fda84.png,2026-05-18 09:54:52.514 +0300
4,"Сыр полутвердый БРЕСТ-ЛИТОВСК Топленое молоко 45%, без змж, 200г","734892",247.39,189.99,https://lenta.com/product/syr-polutverdyjj-toplenoe-moloko-45-brusok-bez-zmzh-belarus-200g-734892/,https://cdn.api.lenta.com/resample/webp/900x900/photo/734892/catalog-image/c69d662a-5052-451a-869e-07a9d93deb1e.png,2026-05-18 09:54:52.514 +0300
5,"Сыр SVEZA Моцарелла мини 45%, без змж, масса сыра 100г, 250г","692879",136.89,99.99,https://lenta.com/product/syr-mocarella-mini-45-bez-zmzh-belarus-250g-692879/,https://cdn.api.lenta.com/resample/webp/900x900/photo/692879/catalog-image/6cd1a1c5-8bb3-40ea-8691-d38c81bd508a.png,2026-05-18 09:54:52.514 +0300
6,"Сыр СЕЛО ЗЕЛЕНОЕ Тильзитер 50%, без змж, 200г","547713",315.79,199.99,https://lenta.com/product/syr-tilziter-50-laminat-bez-zmzh-rossiya-200g-547713/,https://cdn.api.lenta.com/resample/webp/900x900/photo/547713/catalog-image/f84255ad-ee16-4285-8585-aa13ed7fdc04.png,2026-05-18 09:54:52.514 +0300
7,"Сыр BONVIDA Для пиццы Моцарелла, без змж, 400г","528571",347.36,279.99,https://lenta.com/product/syr-mocarella-bez-zmzh-rossiya-400g-528571/,https://cdn.api.lenta.com/resample/webp/900x900/photo/528571/4b70a3ca-1c7a-4561-b3a0-3121e00b05d9.png,2026-05-18 09:54:52.514 +0300
8,"Сыр полутвердый ЛЕНТА Сливочный 45%, без змж, весовой","568331",884.2,699.99,https://lenta.com/product/syr-polutverdyjj-slivochnyjj-45-bez-zmzh-ves-rossiya-568331/,https://cdn.api.lenta.com/resample/webp/900x900/photo/568331/43642e32-2a42-4a24-81bc-2ffec8faf4ff.png,2026-05-18 09:54:52.514 +0300
9,"Сыр плавленый HOCHLAND Чизбургер порционный 45%, ломтики, без змж, 150г","121130",157.89,119.99,https://lenta.com/product/syr-plavlenyjj-chizburger-45-lomtiki-bez-zmzh-rossiya-150g-121130/,https://cdn.api.lenta.com/resample/webp/900x900/photo/121130/catalog-image/26d36c54-f7de-4349-9cb6-cf3ed216ca40.png,2026-05-18 09:54:52.514 +0300
10,"Сыр творожный ЭКОМИЛК 60%, без змж, 350г","736646",263.19,229.99,https://lenta.com/product/syr-tvorozhnyjj-60-bez-zmzh-rossiya-350g-736646/,https://cdn.api.lenta.com/resample/webp/900x900/photo/736646/90fd2ff3-26be-4c04-9c53-f059984bb278.png,2026-05-18 09:54:52.514 +0300
11,"Сыр МИР ВКУСА Пармезан 40%, без змж, весовой","584029",1315.79,944.99,https://lenta.com/product/syr-parmezan-40-bez-zmzh-ves-belarus-584029/,https://cdn.api.lenta.com/resample/webp/900x900/photo/584029/e56ee690-a17f-4bce-a2a8-1e99d6b6540e.png,2026-05-18 09:54:52.514 +0300
12,"Сыр БРЕСТ-ЛИТОВСК Российский 50%, без змж, 200г","635611",231.59,199.99,https://lenta.com/product/syr-rossijjskijj-50-bez-zmzh-belarus-200g-635611/,https://cdn.api.lenta.com/resample/webp/900x900/photo/635611/5b694f42-c718-4390-b9aa-9210402cfff8.png,2026-05-18 09:54:52.514 +0300
13,"Сыр NATURA Сливочный 45%, без змж, 400г","680598",584.29,359.0,https://lenta.com/product/syr-slivochnyjj-45-bez-zmzh-rossiya-400g-680598/,https://cdn.api.lenta.com/resample/webp/900x900/photo/680598/c2832737-968e-436a-b1d3-6d341f2d33d8.png,2026-05-18 09:54:52.514 +0300
14,"Сыр БРЕСТ-ЛИТОВСК Сливочный 50%, без змж, 200г","299164",231.59,199.99,https://lenta.com/product/syr-slivochnyjj-50-fas-bez-zmzh-belarus-200g-299164/,https://cdn.api.lenta.com/resample/webp/900x900/photo/299164/catalog-image/151ae1c2-8f8c-4e96-8035-b241b17fd07a.png,2026-05-18 09:54:52.514 +0300
15,"Сыр мягкий PRETTO Рикотта 45%, без змж, 200г","455088",126.39,99.99,https://lenta.com/product/syr-rikotta-myagkijj-45-bez-zmzh-rossiya-200g-455088/,https://cdn.api.lenta.com/resample/webp/900x900/photo/455088/aafdd8fb-6379-479e-9ade-49260ca624b8.png,2026-05-18 09:54:52.514 +0300
16,"Сыр БРЕСТ-ЛИТОВСК Легкий 35%, без змж, 200г","299179",231.59,199.99,https://lenta.com/product/syr-legkijj-35-fas-bez-zmzh-belarus-200g-299179/,https://cdn.api.lenta.com/resample/webp/900x900/photo/299179/catalog-image/5331712c-c347-47dd-bda2-265ab92abe9a.png,2026-05-18 09:54:52.514 +0300
17,"Сыр АЗБУКА СЫРА Эмменталь 45%, без змж, 200г","866563",315.79,264.99,https://lenta.com/product/syr-emmental-fas-45-bez-zmzh-rossiya-200g-866563/,https://cdn.api.lenta.com/resample/webp/900x900/photo/866563/catalog-image/9116726e-1b53-4b28-a574-5f53034e677a.png,2026-05-18 09:54:52.514 +0300
18,"Сыр OLDENBURGER протеиновый 30%, без змж, 150г","770178",259.99,229.99,https://lenta.com/product/syr-proteinovyjj-30-bez-zmzh-rossiya-150g-770178/,https://cdn.api.lenta.com/resample/webp/900x900/photo/770178/catalog-image/54dd3f79-a66f-4ee6-9ea9-11cf0fd7a1fa.png,2026-05-18 09:54:52.514 +0300
19,"Сыр ЛАМБЕР 50%, без змж, 230г","299121",421.09,319.99,https://lenta.com/product/syr-500-bez-zmzh-rossiya-230g-299121/,https://cdn.api.lenta.com/resample/webp/900x900/photo/299121/catalog-image/01b000c5-e3ba-4a02-bb06-f6f62c057bd1.png,2026-05-18 09:54:52.514 +0300
20,"Сыр плавленый HOCHLAND сливочный 55%, без змж, 200г","31878",215.78,159.99,https://lenta.com/product/syr-plavlenyjj-slivochnyjj-55-vanna-bez-zmzh-rossiya-200g-31878/,https://cdn.api.lenta.com/resample/webp/900x900/photo/31878/catalog-image/9624149f-864e-4523-b052-8e021c9de967.png,2026-05-18 09:54:52.514 +0300
21,"Сыр OLDENBURGER протеиновый с томатом и базиликом 30%, без змж, 150г","770179",259.99,229.99,https://lenta.com/product/syr-proteinovyjj-s-tomatom-i-bazilikom-30-bez-zmzh-rossiya-150g-770179/,https://cdn.api.lenta.com/resample/webp/900x900/photo/770179/catalog-image/b1a0f2f3-4084-48dd-84dd-478767305f97.png,2026-05-18 09:54:52.514 +0300
22,"Сыр твердый ВЕЛИКИЕ ЛУКИ Parmesan от 3 месяца 40%, без змж, весовой","690189",1389.49,1174.99,https://lenta.com/product/syr-tverdyjj-parmesan-ot-3-mes-40-ves-bez-zmzh-rossiya-690189/,https://cdn.api.lenta.com/resample/webp/900x900/photo/690189/ff453577-6999-471c-803e-8ff10a868f24.png,2026-05-18 09:54:52.514 +0300
23,"Сыр плавленый КАРАТ Дружба 45%, без змж, 90г","79836",75.78,59.99,https://lenta.com/product/syr-plavlenyjj-druzhba-45-bez-zmzh-rossiya-90g-79836/,https://cdn.api.lenta.com/resample/webp/900x900/photo/79836/eaffa912-7346-4b17-bab3-28d1cac310e1.png,2026-05-18 09:54:52.514 +0300
24,"Сыр мягкий FLE Бри с белой плесенью 50%, без змж, 125г","855412",368.42,304.99,https://lenta.com/product/syr-myagkijj-bri-s-belojj-plesenyu-50-bez-zmzh-rossiya-125g-855412/,https://cdn.api.lenta.com/resample/webp/900x900/photo/855412/catalog-image/48398d3a-0e6e-4e73-98a7-c2e9c40f1a27.png,2026-05-18 09:54:52.514 +0300
25,"Сыр творожный HOCHLAND Для кулинарии: для горячих и холодных блюд 65%, без змж, 400г","431241",442.1,299.99,https://lenta.com/product/syr-tvorozhnyjj-dlya-kulinarii-65-bez-zmzh-rossiya-400g-431241/,https://cdn.api.lenta.com/resample/webp/900x900/photo/431241/976d742b-3c5f-414f-81f6-43debea48c26.png,2026-05-18 09:54:52.514 +0300
26,"Сыр ЛЕНТА FRESH Чечил-лапша сливочный 45%, без змж, 130г","735050",242.1,179.99,https://lenta.com/product/syr-chechil-lapsha-slivochnyjj-45-bez-zmzh-rossiya-130g-735050/,https://cdn.api.lenta.com/resample/webp/900x900/photo/735050/d435e4eb-5329-461c-b26c-2d96a42b0888.png,2026-05-18 09:54:52.514 +0300
